paperless_billing,internet_service,online_security,premium_tech_support,unlimited_data,age_bins,family_size_bins,number_of_referrals_bins,contract,offer,payment_method,internet_type,total_of_services_add,tenure_in_months_bins,monthly_charge,churn_value
Yes,Yes,No,No,No,3,0,0,Month-to-Month,None,Credit Card,DSL,3,3,49.5,0
No,No,No,No,No,3,2,2,One Year,None,Credit Card,None,1,0,19.7,0
Yes,Yes,No,No,Yes,2,0,0,Month-to-Month,Offer D,Credit Card,Fiber Optic,5,1,81.0,1
Yes,Yes,No,Yes,Yes,4,0,0,Two Year,Offer A,Bank Withdrawal,Fiber Optic,7,4,108.4,1
No,Yes,No,No,No,3,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,2,0,79.55,1
No,Yes,No,No,Yes,1,0,0,Month-to-Month,Offer B,Bank Withdrawal,Fiber Optic,4,3,72.8,0
Yes,Yes,Yes,No,Yes,1,1,0,Month-to-Month,None,Credit Card,DSL,4,2,50.3,0
Yes,Yes,Yes,Yes,Yes,0,0,0,Month-to-Month,None,Bank Withdrawal,DSL,6,2,79.2,1
No,Yes,No,No,Yes,3,0,0,One Year,Offer C,Credit Card,Fiber Optic,5,3,81.4,0
No,No,No,No,No,1,1,1,Two Year,Offer A,Credit Card,None,1,4,20.35,0
No,Yes,Yes,No,Yes,4,0,1,One Year,None,Bank Withdrawal,Fiber Optic,6,4,94.4,0
Yes,Yes,No,Yes,Yes,0,0,2,Two Year,Offer A,Credit Card,Cable,5,4,73.35,0
Yes,Yes,Yes,No,Yes,3,0,2,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,6,0,84.5,1
No,Yes,Yes,Yes,Yes,3,0,0,Two Year,None,Credit Card,DSL,8,4,88.55,0
Yes,Yes,No,Yes,Yes,2,0,0,Month-to-Month,None,Bank Withdrawal,DSL,4,0,52.2,1
Yes,Yes,No,No,Yes,2,0,0,One Year,Offer B,Bank Withdrawal,Fiber Optic,6,3,94.65,0
Yes,Yes,No,No,Yes,4,0,0,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,5,0,81.35,1
Yes,Yes,No,No,Yes,1,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,3,0,78.5,1
No,Yes,Yes,Yes,Yes,4,0,0,Two Year,Offer B,Credit Card,Fiber Optic,7,3,101.3,0
No,Yes,No,No,Yes,4,0,0,Month-to-Month,None,Credit Card,Fiber Optic,5,3,88.3,1
No,Yes,Yes,Yes,Yes,2,2,0,Month-to-Month,None,Credit Card,Cable,8,3,79.9,1
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,4,0,95.85,1
No,No,No,No,No,1,1,3,One Year,None,Bank Withdrawal,None,2,2,24.5,0
No,No,No,No,No,3,0,0,Two Year,Offer E,Credit Card,None,1,0,19.55,0
Yes,Yes,No,No,Yes,0,0,0,One Year,Offer D,Bank Withdrawal,Cable,4,1,61.25,0
Yes,Yes,No,No,Yes,0,0,0,One Year,Offer C,Credit Card,Cable,4,3,51.55,0
No,Yes,No,Yes,Yes,1,1,2,One Year,Offer B,Credit Card,Fiber Optic,6,4,103.9,0
Yes,Yes,Yes,No,Yes,3,0,0,Month-to-Month,None,Mailed Check,Cable,4,1,51.0,1
Yes,Yes,No,No,No,3,0,0,Month-to-Month,Offer D,Bank Withdrawal,Fiber Optic,3,2,86.0,1
Yes,Yes,No,Yes,Yes,0,1,0,Month-to-Month,Offer E,Credit Card,Cable,4,1,69.4,0
No,No,No,No,No,3,0,0,Two Year,Offer B,Credit Card,None,2,4,24.2,0
Yes,Yes,No,No,Yes,4,0,2,Two Year,None,Credit Card,Fiber Optic,4,3,85.7,0
No,Yes,No,No,Yes,1,0,0,Month-to-Month,Offer E,Credit Card,DSL,2,0,24.3,0
No,Yes,Yes,Yes,Yes,1,0,2,Two Year,None,Credit Card,DSL,8,4,72.1,0
No,Yes,Yes,No,Yes,0,0,0,Month-to-Month,None,Bank Withdrawal,DSL,5,2,65.35,0
Yes,Yes,Yes,No,Yes,1,0,0,Month-to-Month,Offer D,Bank Withdrawal,Fiber Optic,6,2,104.2,1
Yes,Yes,Yes,No,Yes,1,1,3,Month-to-Month,None,Credit Card,DSL,4,0,48.75,0
Yes,Yes,No,Yes,No,0,0,1,One Year,Offer B,Bank Withdrawal,Fiber Optic,4,3,91.15,0
No,Yes,No,Yes,Yes,3,0,1,Month-to-Month,Offer E,Mailed Check,DSL,3,1,40.65,1
Yes,Yes,No,Yes,Yes,0,0,0,Month-to-Month,None,Mailed Check,Fiber Optic,5,2,98.55,0
No,Yes,Yes,Yes,Yes,1,2,0,Month-to-Month,Offer C,Bank Withdrawal,Fiber Optic,7,3,89.3,0
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,5,2,101.1,1
Yes,Yes,No,No,Yes,3,0,3,Month-to-Month,Offer D,Bank Withdrawal,Fiber Optic,4,2,96.8,0
No,Yes,Yes,No,Yes,4,0,0,Month-to-Month,None,Bank Withdrawal,DSL,5,2,66.4,0
Yes,Yes,Yes,Yes,Yes,3,1,3,Two Year,None,Credit Card,Fiber Optic,7,4,101.1,0
No,Yes,Yes,No,Yes,1,0,0,One Year,Offer A,Credit Card,DSL,7,4,76.75,0
Yes,Yes,No,No,Yes,4,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,4,0,85.05,1
Yes,Yes,No,No,Yes,2,0,0,Month-to-Month,None,Mailed Check,DSL,3,0,54.75,1
No,No,No,No,No,1,0,0,One Year,Offer D,Mailed Check,None,1,2,19.45,0
Yes,Yes,No,Yes,Yes,1,0,0,Two Year,None,Bank Withdrawal,Fiber Optic,5,3,80.45,1
No,No,No,No,No,3,1,3,Two Year,Offer A,Credit Card,None,1,4,19.8,0
Yes,Yes,Yes,Yes,Yes,4,0,3,One Year,Offer B,Credit Card,Fiber Optic,7,3,109.55,1
Yes,Yes,Yes,Yes,Yes,0,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,5,2,99.85,1
Yes,Yes,No,No,Yes,0,0,2,One Year,None,Bank Withdrawal,Fiber Optic,5,3,97.05,0
Yes,Yes,No,No,Yes,2,0,0,Month-to-Month,None,Bank Withdrawal,Cable,3,0,45.65,1
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,None,Bank Withdrawal,Cable,5,2,100.0,1
No,No,No,No,No,2,1,0,Two Year,None,Bank Withdrawal,None,2,4,24.7,0
Yes,Yes,No,No,Yes,3,0,1,Month-to-Month,None,Bank Withdrawal,Fiber Optic,6,4,103.4,1
No,No,No,No,No,0,0,0,Month-to-Month,None,Credit Card,None,1,0,19.4,0
No,Yes,Yes,Yes,Yes,3,1,0,Two Year,Offer A,Bank Withdrawal,Fiber Optic,8,4,114.45,0
No,Yes,Yes,Yes,Yes,4,0,3,Two Year,None,Bank Withdrawal,DSL,8,4,78.45,0
Yes,Yes,No,Yes,Yes,3,0,0,Month-to-Month,Offer D,Credit Card,Fiber Optic,5,2,80.05,0
Yes,Yes,Yes,Yes,No,3,0,0,Two Year,Offer A,Mailed Check,DSL,5,4,47.4,0
Yes,No,No,No,No,4,0,0,Month-to-Month,None,Bank Withdrawal,None,1,0,19.45,1
No,No,No,No,No,2,2,0,One Year,Offer D,Credit Card,None,1,2,19.65,0
Yes,Yes,No,No,No,0,1,0,Month-to-Month,None,Bank Withdrawal,Cable,1,0,25.3,1
Yes,Yes,No,No,Yes,0,0,0,Month-to-Month,Offer E,Bank Withdrawal,DSL,3,0,29.65,1
Yes,Yes,No,No,Yes,4,0,0,Two Year,None,Bank Withdrawal,Cable,5,1,64.95,0
No,No,No,No,No,3,2,2,Two Year,Offer A,Bank Withdrawal,None,2,4,24.3,0
No,Yes,Yes,Yes,Yes,3,0,3,Two Year,None,Credit Card,DSL,8,4,90.05,0
No,Yes,No,No,Yes,1,0,0,Month-to-Month,None,Credit Card,Cable,3,0,45.45,0
Yes,Yes,No,No,Yes,4,0,0,One Year,None,Credit Card,Cable,4,2,49.85,0
No,Yes,No,Yes,Yes,0,0,0,Two Year,Offer C,Bank Withdrawal,Fiber Optic,5,3,99.3,0
Yes,Yes,Yes,Yes,Yes,3,0,0,Two Year,None,Bank Withdrawal,DSL,6,4,62.5,0
Yes,Yes,No,Yes,No,1,0,0,Month-to-Month,Offer B,Bank Withdrawal,Fiber Optic,5,3,103.8,0
No,Yes,No,No,Yes,2,0,3,Month-to-Month,Offer B,Bank Withdrawal,Fiber Optic,5,3,80.45,0
No,No,No,No,No,2,1,0,One Year,None,Credit Card,None,1,3,19.4,0
Yes,Yes,No,Yes,Yes,3,0,0,One Year,None,Bank Withdrawal,Fiber Optic,6,3,85.2,0
No,Yes,No,No,Yes,2,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,3,0,89.3,1
No,Yes,No,No,No,4,0,0,One Year,Offer B,Bank Withdrawal,Fiber Optic,3,3,73.85,0
Yes,Yes,Yes,Yes,Yes,2,1,2,Two Year,None,Mailed Check,DSL,8,4,90.6,0
Yes,Yes,No,Yes,No,2,0,0,One Year,None,Bank Withdrawal,Fiber Optic,5,3,106.65,0
No,No,No,No,No,3,1,0,Two Year,None,Credit Card,None,1,2,20.85,0
No,No,No,No,No,3,0,0,Month-to-Month,Offer D,Credit Card,None,2,2,24.8,0
Yes,Yes,No,Yes,Yes,0,0,0,Two Year,None,Bank Withdrawal,Fiber Optic,6,4,104.0,0
Yes,Yes,No,No,No,3,0,0,One Year,None,Bank Withdrawal,Fiber Optic,2,3,90.4,1
Yes,Yes,No,No,Yes,0,0,0,Month-to-Month,Offer C,Bank Withdrawal,Cable,3,3,64.75,1
No,Yes,Yes,No,Yes,0,0,0,Two Year,None,Credit Card,DSL,7,4,83.5,0
No,Yes,No,Yes,Yes,4,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,5,3,98.65,1
