online_security,paperless_billing,contract,internet_type,offer,payment_method,age_bins,family_size_bins,number_of_referrals_bins,tenure_in_months_bins,total_of_services_add,monthly_charge,churn_value
No,Yes,Month-to-Month,DSL,None,Credit Card,3,1,0,3,3,49.5,0
No,No,One Year,None,None,Credit Card,3,3,3,1,1,19.7,0
No,Yes,Month-to-Month,Fiber Optic,Offer D,Credit Card,2,0,0,1,5,81.0,1
No,Yes,Two Year,Fiber Optic,Offer A,Bank Withdrawal,4,1,1,6,7,108.4,1
No,No,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,0,0,0,2,79.55,1
No,No,Month-to-Month,Fiber Optic,Offer B,Bank Withdrawal,1,0,0,4,4,72.8,0
Yes,Yes,Month-to-Month,DSL,None,Credit Card,1,2,0,2,4,50.3,0
Yes,Yes,Month-to-Month,DSL,None,Bank Withdrawal,0,1,1,2,6,79.2,1
No,No,One Year,Fiber Optic,Offer C,Credit Card,3,0,0,4,5,81.4,0
No,No,Two Year,None,Offer A,Credit Card,1,2,2,6,1,20.35,0
Yes,No,One Year,Fiber Optic,None,Bank Withdrawal,4,1,2,6,6,94.4,0
No,Yes,Two Year,Cable,Offer A,Credit Card,1,1,2,6,5,73.35,0
Yes,Yes,Month-to-Month,Fiber Optic,Offer E,Bank Withdrawal,3,1,2,0,6,84.5,1
Yes,No,Two Year,DSL,None,Credit Card,3,0,0,6,8,88.55,0
No,Yes,Month-to-Month,DSL,None,Bank Withdrawal,2,0,0,0,4,52.2,1
No,Yes,One Year,Fiber Optic,Offer B,Bank Withdrawal,2,1,1,4,6,94.65,0
No,Yes,Month-to-Month,Fiber Optic,Offer E,Bank Withdrawal,4,0,0,0,5,81.35,1
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,1,0,0,0,3,78.5,1
Yes,No,Two Year,Fiber Optic,Offer B,Credit Card,4,0,0,5,7,101.3,0
No,No,Month-to-Month,Fiber Optic,None,Credit Card,4,0,0,3,5,88.3,1
Yes,No,Month-to-Month,Cable,None,Credit Card,2,3,1,4,8,79.9,1
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,0,0,0,4,95.85,1
No,No,One Year,None,None,Bank Withdrawal,1,2,3,2,2,24.5,0
No,No,Two Year,None,Offer E,Credit Card,3,0,0,1,1,19.55,0
No,Yes,One Year,Cable,Offer D,Bank Withdrawal,0,0,0,1,4,61.25,0
No,Yes,One Year,Cable,Offer C,Credit Card,0,0,0,3,4,51.55,0
